"","Matastatic_Site","Freq","Weight"
"1","adrenal_gland",0,0
"2","bone",0,0
"3","brain",0,0
"4","breast",0,0
"5","caudaequina",0,0
"6","chest_wall",0,0
"7","colorectum",0,0
"8","fat",0,0
"9","head_&_neck",0,0
"10","kidney",0,0
"11","liver",24,0.558139534883721
"12","lung",8,0.186046511627907
"13","lymph_node",0,0
"14","muscle",0,0
"15","non-regional_/_distant_lymph_nodes",1,0.0232558139534884
"16","omentum",0,0
"17","other",6,0.13953488372093
"18","ovary",0,0
"19","pancreas",0,0
"20","pelvis",0,0
"21","peritoneal_surfaces",4,0.0930232558139535
"22","peritoneum",0,0
"23","pleura",0,0
"24","pleura/pleural_effusion",0,0
"25","posterior_peritoneum",0,0
"26","skeleton",0,0
"27","skin",0,0
"28","small_intestine",0,0
"29","soft_tissue",0,0
"30","spinal_cord",0,0
"31","spleen",0,0
"32","subcutaneous",0,0
"33","subcutanious_soft_tissue",0,0
"34","viscera",0,0
